"Pitchers under $310,000"
""
""
Team,Player,Salary
New York Yankees,"Anderson, Jason","300,000"
Anaheim Angels,"Callaway, Mickey","302,500"
Anaheim Angels,"Shields, Scot","305,000"
Anaheim Angels,"Wise, Matt","302,500"
Boston Red Sox,"Gonzalez, Dicky","300,000"
Boston Red Sox,"Lyon, Brandon","309,500"
Boston Red Sox,"Person, Robert","300,000"
Boston Red Sox,"White, Matt","300,000"
Cleveland Indians,"Davis, Jason","301,100"
Cleveland Indians,"Lee, Cliff","300,900"
Cleveland Indians,"Myette, Aaron","307,500"
Cleveland Indians,"Rodriguez, Ricardo","302,400"
Cleveland Indians,"Sadler, Carl","303,200"
Cleveland Indians,"Traber, Billy","300,000"
Cleveland Indians,"Westbrook, Jake","305,500"
Toronto Blue Jays ,"Hendrickson, Mark","302,000"
Toronto Blue Jays ,"Lopez, Aquilino","300,000"
Toronto Blue Jays ,"Miller, Trever","305,000"
Baltimore Orioles,"Bedard, Erik","300,000"
Tampa Bay Devil Rays,"Bierbrodt, Nick","300,000"
Tampa Bay Devil Rays,"Carter, Lance","300,000"
Tampa Bay Devil Rays,"Colome, Jesus","300,000"
Tampa Bay Devil Rays,"Kennedy, Joe","300,000"
Tampa Bay Devil Rays,"McClung, Seth","300,000"
Tampa Bay Devil Rays,"Seay, Bobby","300,000"
Tampa Bay Devil Rays,"Sosa, Jorge","300,000"
Tampa Bay Devil Rays,"Venafro, Mike","300,000"
Tampa Bay Devil Rays,"Zambrano, Victor","300,000"
Kansas City Royals,"Bukvich, Ryan","304,500"
Kansas City Royals,"Carrasco, DJ","300,000"
Kansas City Royals,"George, Chris","303,500"
Kansas City Royals,"Hernandez, Runelvys","305,500"
Kansas City Royals,"MacDougal, Mike","301,000"
Chicago White Sox,"Stewart, Josh","300,000"
Detroit Tigers,"Bonderman, Jeremy","300,000"
Detroit Tigers,"Cornejo, Nate","303,000"
Detroit Tigers,"German, Franklyn","300,000"
Detroit Tigers,"Knotts, Gary","305,000"
Detroit Tigers,"Ledezma, Wilfredo","300,000"
Detroit Tigers,"Maroth, Mike","309,000"
Detroit Tigers,"Roney, Matt","300,000"
Detroit Tigers,"Spurling, Chris","305,000"
Seattle Mariners,"Mateo, Julio","302,500"
Oakland Athletics,"Bowie, Micah","304,000"
Oakland Athletics,"Neu, Mike","300,000"
Texas Rangers,"Garcia, Reynaldo","300,000"
Texas Rangers,"Lewis, Colby","302,500"
