"Players under $310,000"


Team,Player,Salary,Position
New York Yankees,"Anderson, Jason","300,000",Pitcher
Anaheim Angels,"Callaway, Mickey","302,500",Pitcher
Anaheim Angels,"Ramirez, Julio","300,000",Outfielder
Anaheim Angels,"Shields, Scot","305,000",Pitcher
Anaheim Angels,"Wise, Matt","302,500",Pitcher
Boston Red Sox,"Gonzalez, Dicky","300,000",Pitcher
Boston Red Sox,"Lyon, Brandon","309,500",Pitcher
Boston Red Sox,"Person, Robert","300,000",Pitcher
Boston Red Sox,"White, Matt","300,000",Pitcher
Cleveland Indians,"Bard, Josh","302,100",Catcher
Cleveland Indians,"Broussard, Benjamin","303,000",First Baseman
Cleveland Indians,"Davis, Jason","301,100",Pitcher
Cleveland Indians,"Hafner, Travis","302,200",First Baseman
Cleveland Indians,"Lee, Cliff","300,900",Pitcher
Cleveland Indians,"Myette, Aaron","307,500",Pitcher
Cleveland Indians,"Phillips, Brandon","300,900",Shortstop
Cleveland Indians,"Rodriguez, Ricardo","302,400",Pitcher
Cleveland Indians,"Sadler, Carl","303,200",Pitcher
Cleveland Indians,"Traber, Billy","300,000",Pitcher
Cleveland Indians,"Westbrook, Jake","305,500",Pitcher
Toronto Blue Jays ,"Hendrickson, Mark","302,000",Pitcher
Toronto Blue Jays ,"Lopez, Aquilino","300,000",Pitcher
Toronto Blue Jays ,"Miller, Trever","305,000",Pitcher
Toronto Blue Jays ,"Werth, Jayson","300,000",Catcher
Baltimore Orioles,"Bedard, Erik","300,000",Pitcher
Baltimore Orioles,"Leon, Jose","305,000",Third Baseman
Baltimore Orioles,"Morban, Jose","300,000",Shortstop
Tampa Bay Devil Rays,"Abernathy, Brent","300,000",Second Baseman
Tampa Bay Devil Rays,"Baldelli, Rocco","300,000",Outfielder
Tampa Bay Devil Rays,"Bierbrodt, Nick","300,000",Pitcher
Tampa Bay Devil Rays,"Carter, Lance","300,000",Pitcher
Tampa Bay Devil Rays,"Colome, Jesus","300,000",Pitcher
Tampa Bay Devil Rays,"Crawford, Carl","300,000",Outfielder
Tampa Bay Devil Rays,"Hall, Toby","300,000",Catcher
Tampa Bay Devil Rays,"Kennedy, Joe","300,000",Pitcher
Tampa Bay Devil Rays,"Martin, Al","300,000",Outfielder
Tampa Bay Devil Rays,"McClung, Seth","300,000",Pitcher
Tampa Bay Devil Rays,"Rolls, Damian","300,000",Third Baseman
Tampa Bay Devil Rays,"Seay, Bobby","300,000",Pitcher
Tampa Bay Devil Rays,"Shumpert, Terry","300,000",Second Baseman
Tampa Bay Devil Rays,"Sosa, Jorge","300,000",Pitcher
Tampa Bay Devil Rays,"Valentin, Javier","300,000",Catcher
Tampa Bay Devil Rays,"Venafro, Mike","300,000",Pitcher
Tampa Bay Devil Rays,"Zambrano, Victor","300,000",Pitcher
Kansas City Royals,"Berger, Grandon","304,000",Outfielder
Kansas City Royals,"Berroa, Angel","302,000",Shortstop
Kansas City Royals,"Brown, Dermal","309,500",Outfielder
Kansas City Royals,"Bukvich, Ryan","304,500",Pitcher
Kansas City Royals,"Carrasco, DJ","300,000",Pitcher
Kansas City Royals,"George, Chris","303,500",Pitcher
Kansas City Royals,"Harvey, Ken","300,000",First Baseman
Kansas City Royals,"Hernandez, Runelvys","305,500",Pitcher
Kansas City Royals,"Johnson, Rontrez","300,000",Outfielder
Kansas City Royals,"Lopez, Mendy","300,000",Shortstop
Kansas City Royals,"MacDougal, Mike","301,000",Pitcher
Minnesota Twins,"Cuddyer, Michael","302,500",Outfielder
Chicago White Sox,"Olivo, Miguel","300,000",Catcher
Chicago White Sox,"Stewart, Josh","300,000",Pitcher
Detroit Tigers,"Bonderman, Jeremy","300,000",Pitcher
Detroit Tigers,"Cornejo, Nate","303,000",Pitcher
Detroit Tigers,"German, Franklyn","300,000",Pitcher
Detroit Tigers,"Infante, Omar","300,000",Shortstop
Detroit Tigers,"Knotts, Gary","305,000",Pitcher
Detroit Tigers,"Ledezma, Wilfredo","300,000",Pitcher
Detroit Tigers,"Maroth, Mike","309,000",Pitcher
Detroit Tigers,"Roney, Matt","300,000",Pitcher
Detroit Tigers,"Santiago, Ramon","307,000",Second Baseman
Detroit Tigers,"Spurling, Chris","305,000",Pitcher
Seattle Mariners,"Bloomquist, Willie","300,000",Second Baseman
Seattle Mariners,"Mateo, Julio","302,500",Pitcher
Seattle Mariners,"Snelling, Chris","300,000",Outfielder
Oakland Athletics,"Bowie, Micah","304,000",Pitcher
Oakland Athletics,"Byrnes, Eric","300,000",Outfielder
Oakland Athletics,"Ellis, Mark","307,500",Shortstop
Oakland Athletics,"Neu, Mike","300,000",Pitcher
Texas Rangers,"Blalock, Hank","302,500",Third Baseman
Texas Rangers,"Clark, Jermaine","300,000",Second Baseman
Texas Rangers,"Garcia, Reynaldo","300,000",Pitcher
Texas Rangers,"Lewis, Colby","302,500",Pitcher
