Lifetime Donation Statistics
""
Lifetime Donations for Non-Homeowners
Income Levels,1,2,3,4,5,6,7
count,168,203,105,73,109,37,22
min,15.0,15.0,15.0,20.0,15.0,15.0,15.0
max,1111.0,5674.9,384.0,374.0,1174.0,894.0,254.0
median,80.0,81.0,74.0,75.0,75.0,85.0,61.5
mean,106.85119047619048,148.87399014778325,103.92857142857143,88.0958904109589,109.55275229357798,145.3783783783784,81.8409090909091
sd,110.28948056089614,416.9374110278671,75.68435167480378,62.688218373449615,138.96618654046455,169.02252390305716,60.90928171611904
Total Donations,17951.0,30221.42,10912.5,6431.0,11941.25,5379.0,1800.5
""
Lifetime Donations for Homeowners
Income Levels,1,2,3,4,5,6,7
count,114,265,191,980,426,209,218
min,15.0,15.0,15.0,15.0,15.0,15.0,15.0
max,511.0,464.0,510.0,2200.0,557.0,619.0,719.0
median,98.5,86.0,76.0,84.0,77.5,80.0,74.5
mean,116.75236842105264,106.48215094339622,98.31020942408377,112.22780612244898,103.18612676056338,110.20966507177033,103.35683486238533
sd,84.00888957037061,79.01495285940153,74.10503309356979,122.53105078348617,87.87531246659272,102.04795042533789,96.79244522124912
Total Donations,13309.77,28217.769999999997,18777.25,109983.25,43957.29,23033.82,22531.79
